ASV;assignmentQual;taxID;superkingdom;phylum;class;order;family;genus;species
ASV_119;Low;1913989;Bacteria;Pseudomonadota;Gammaproteobacteria;;;;Gammaproteobacteria bacterium
ASV_120;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_121;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_122;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_124;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_125;Low;2571749;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sp. EMRT-2
ASV_126;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_129;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_130;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_132;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_134;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_136;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_137;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_138;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_140;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_141;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_142;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_143;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_144;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_145;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_146;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_147;Low;2901172;Eukaryota;Arthropoda;Insecta;Diptera;Limoniidae;;Limoniidae sp.
ASV_149;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_150;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_153;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_154;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_157;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_158;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_159;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_160;Low;95485;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia stabilis
ASV_161;Low;1288494;Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;Nitrosospira lacus
ASV_162;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_163;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_164;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_165;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_166;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_168;Low;319962;Eukaryota;Nematoda;Chromadorea;Monhysterida;Linhomoeidae;Terschellingia;Terschellingia longicaudata
ASV_169;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_170;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_171;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_172;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_173;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_174;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_176;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_177;Low;504832;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;Afipia carboxidovorans
ASV_178;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_182;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_183;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_184;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_185;Low;1171980;Eukaryota;Annelida;Clitellata;Parvidrilida;Parvidrilidae;Parvidrilus;Parvidrilus meyssonnieri
ASV_186;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_187;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_188;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_189;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_191;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_192;Low;1891841;Eukaryota;Arthropoda;Insecta;Diptera;Pipunculidae;Tomosvaryella;Tomosvaryella sachtlebeni
ASV_193;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_195;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_196;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_197;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_198;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_199;Low;1913989;Bacteria;Pseudomonadota;Gammaproteobacteria;;;;Gammaproteobacteria bacterium
ASV_200;Low;1913989;Bacteria;Pseudomonadota;Gammaproteobacteria;;;;Gammaproteobacteria bacterium
ASV_201;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_202;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_203;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_204;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_205;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_207;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_208;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_209;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_210;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_211;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_212;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_213;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_214;Low;1017091;Eukaryota;Discosea;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium larifeili
ASV_215;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_219;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_220;Low;2916754;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Sabulilitoribacter;Sabulilitoribacter sp. BrNp1-15
ASV_221;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_222;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_223;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_224;Low;2025989;Eukaryota;Oomycota;;Peronosporales;Peronosporaceae;Nothophytophthora;Nothophytophthora caduca
ASV_225;Low;1543721;Bacteria;Pseudomonadota;Gammaproteobacteria;;;Sedimenticola;Sedimenticola thiotaurini
ASV_226;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_228;Low;2026725;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;;;Chromatiales bacterium
ASV_230;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_231;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_233;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_234;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_235;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_236;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_237;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_239;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_240;Low;396588;Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio;Thioalkalivibrio sulfidiphilus
ASV_241;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_242;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_243;Low;414;Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus;Methylococcus capsulatus
